,abstracts_headlines,section_name,cohen_kappa_label,cohen_kappa_label_label2,cohen_kappa_range_none_to_slight,cohen_kappa_range_fair,cohen_kappa_range_moderate,cohen_kappa_range_substantial,cohen_kappa_range_almost_perfect,cohen_kappa_range_nan,cohen_kappa_label_v2
5083,president defended united states prisoners exchange freed army sgt bowe bergdahl taliban captivity five years obama defends bergdahl prison deal,0,0.2,0.2,1,0,0,0,0,0,0.2
5084,highlights international herald tribune archives franklin roosevelt kept monetary powers student riot threatened president chung hee park standing pages june,0,0.2,0.2,1,0,0,0,0,0,0.2
5085,two former protest leaders spent years prison expressed understanding classmate chose sit pro democracy demonstrations tiananmen square immensely wealthy exiled students sympathy one chose another path,0,0.2,0.2,1,0,0,0,0,0,0.2
5086,senate leaders harry reid mitch mcconnell made rare joint appearance senate judiciary committee reid mcconnell duel proposed amendment campaign spending,0,0.5,0.5,0,0,1,0,0,0,0.5
5087,united states formally gave kyrgyzstan control manas air base another american step afghanistan war staging base afghan war handed kyrgyzstan,0,0.71,0.7,0,0,0,1,0,0,0.71
5088,readers react proposed regulations coal fired power plants coal pollution climate change,1,0.2,0.2,1,0,0,0,0,0,0.2
5089,noah greenwald center biological diversity responds editorial time move dangerous tank cars shipping oil rail,1,0.4,0.4,0,1,0,0,0,0,0.4
5090,military civilian officials rallied defend years effort spent rescue sgt bowe bergdahl critics questioning american military credo leaving one behind,0,0.4,0.4,0,1,0,0,0,0,0.4
5091,white house argued unique circumstances presented opportunity return sgt bowe bergdahl gave president obama authority lawfully bypass federal statute deal free bowe bergdahl puts obama defensive,0,0.2,0.2,1,0,0,0,0,0,0.2
5092,family members three united states citizens killed american drone strikes without trial appeal judge dismissal lawsuit filed administration officials relatives victims drone strikes drop appeal,0,0.4,0.4,0,1,0,0,0,0,0.4
5093,since sgt bowe bergdahl freed years captivity number men served called deserter gone blaming deaths six eight soldiers bowe bergdahl tied lost lives facts murky,0,0.2,0.2,1,0,0,0,0,0,0.2
5094,taliban released video shows moment army sgt bowe bergdahl handed united states forces eastern afghanistan taliban video shows bergdahl handover,0,0.2,0.2,1,0,0,0,0,0,0.2
5095,speaker john boehner called president obama support legislation offered house republicans changes department veterans affairs boehner calls action v scandal,0,0.2,0.2,1,0,0,0,0,0,0.2
5096,labels say youtube threatened block content refuse licensing terms see inferior offered big labels small record labels ask regulators intervene youtube dispute,0,0.4,0.4,0,1,0,0,0,0,0.4
5097,new internet based phones still major flaws landline lifeline,1,0.2,0.2,1,0,0,0,0,0,0.2
5098,stung missteps losses serious fraud office prosecutes investigates corruption fraud struggling improve track record british bank regulators pine win big case,0,0.19,0.2,1,0,0,0,0,0,0.19
5099,two recent supreme court decisions reduce abusive frivolous patent litigation increased sharply recent years clarifying tightening patent law,1,0.2,0.2,1,0,0,0,0,0,0.2
5100,rising influx young unauthorized immigrants crossing border without parents become humanitarian crisis children run,1,0.2,0.2,1,0,0,0,0,0,0.2
5101,former military officers civilian officials defended administration strategy afghanistan worry efforts train advise afghan security forces curtailed criticism troop withdrawal emerges beyond g p,0,0.4,0.4,0,1,0,0,0,0,0.4
5102,obama administration divided prisoner swap would free five taliban commanders swept issues aside rush secure sgt bowe bergdahl behind p w release urgency opportunity,0,0.5,0.5,0,0,1,0,0,0,0.5
5103,senior officials showed lawmakers video sgt bowe bergdahl january raised alarms health spurred action meeting failed quell anger capitol hill senators show frustration briefing ex p w,0,0.4,0.4,0,1,0,0,0,0,0.4
5104,dispute announcement week united states would work new palestinian government emerged reconciliation talks hamas hamas looms latest israel u dispute,0,0.49,0.5,0,0,1,0,0,0,0.49
5105,student leader discusses chose live taiwan sees system surpassing older democracies west future relations beijing q wu er kaixi tiananmen hopes taiwan achievements,0,0.2,0.2,1,0,0,0,0,0,0.2
5106,sgt bowe bergdahl released maryland woman dismayed learn prisoner swap would include husband taken hostage pakistan dismay failure swap rescue hostages,0,0.4,0.4,0,1,0,0,0,0,0.4
5107,dutch financial services company ing group said would hold long anticipated initial public offering nn group european japanese insurance investment management arm ing moves ahead p insurance unit,0,0.4,0.4,0,1,0,0,0,0,0.4
5108,president obama said makes apologies seeking release sgt bowe bergdahl prisoner swap taliban defended exchange dogged european trip obama g release group seven,0,0.2,0.2,1,0,0,0,0,0,0.2
5109,days federal agents seized two computer networks used distribute ransomware security researchers said new exploit kit used distribute ransomware disturbing success rates days federal seizure another type ransomware gains ground,0,0.4,0.4,0,1,0,0,0,0,0.4
5110,readers discuss amazon hardball actions publishing marketplace book fight amazon vs publishers,1,0.2,0.2,1,0,0,0,0,0,0.2
5111,legacy significant legislation changes better american life compromise majority voters could worse tea party dead enders,1,0.2,0.2,1,0,0,0,0,0,0.2
5112,e p proposed rules carbon start chain reaction leads steps limit climate change around world climate domino,1,0.2,0.2,1,0,0,0,0,0,0.2
5113,national solidarity essential health country president obama prisoner swap sgt bowe bergdahl nurtured sentiment president obama right,1,0.2,0.2,1,0,0,0,0,0,0.2
5114,politically gloomy midterm election year democrats representative nancy pelosi house colleagues revved small enthusiastic crowds turn vote house democrats set energize faithful focus women,0,0.19,0.2,1,0,0,0,0,0,0.19
5115,one journalists detained shenzhen police may wang jianmin naturalized united states citizen publisher two chinese language magazines hong kong feature gossip mainland chinese leaders journalist detained shenzhen said american,0,0.2,0.2,1,0,0,0,0,0,0.2
5116,reform conservatism proposed child tax credit leave poor cold family friendly tax reform poor,1,0.5,0.5,0,0,1,0,0,0,0.5
5117,talk behavior soldiers let acknowledge gaps knowledge investment bergdahl distance battlefield,1,0.0,0.0,0,0,0,0,0,1,0.0
5118,unemployment levels united states dropped back almost levels fall europe grimmer story u european job markets take different paths,0,0.2,0.2,1,0,0,0,0,0,0.2
5119,high level group north american orthodox catholic theological consultation calling vatican allow eastern catholic priests serving north america marry group catholic orthodox officials endorses marriage priests,0,0.4,0.4,0,1,0,0,0,0,0.4
5120,automaker said recent g pickups u v may inoperative door chimes models may problem air bag general motors recalls vehicles actions,0,0.2,0.2,1,0,0,0,0,0,0.2
5121,thanks facebook instagram oversharing one personal life feels authentic reality tv right anonymous posts hold key truth intimacy anonymity,0,0.6000000000000001,0.6000000000000001,0,0,0,1,0,0,0.6000000000000001
5122,chinese outdoing americans philosophical game china pragmatism,1,0.4,0.4,0,1,0,0,0,0,0.4
5123,china says vietnamese ships rammed chinese vessels times since dispute chinese oil rig south china sea flared may china accuses vietnam ramming ships stop rig,0,0.2,0.2,1,0,0,0,0,0,0.2
5124,sam borden european sports correspondent times wrote week cover story u national soccer team german coach j rgen klinsmann behind cover story sam borden klinsmann coach change agent american soccer,0,0.4,0.4,0,1,0,0,0,0,0.4
5125,retired lt gen wang hongguang populist chinese newspaper global times takes issue five american weapons war china fear chinese ex general warns u magazine article,0,0.21000000000000002,0.2,0,1,0,0,0,0,0.21000000000000002
5126,several democrats competitive senate races supported e p proposal curb power plant emissions citing growing public support action perceptions republicans anti science democrats see winning issue carbon plan,0,0.2,0.2,1,0,0,0,0,0,0.2
5127,china complained japan kilograms plutonium reported international atomic energy agency china complains plutonium japan,0,0.4,0.4,0,1,0,0,0,0,0.4
5128,delivering biggest speech science technology president xi jinping demands china master control new technologies said decide global economic political winners losers xi urges greater innovation core technologies,0,0.2,0.2,1,0,0,0,0,0,0.2
5129,americans least one afghan soldier killed coalition aircraft accidentally struck position afghan american officials said tuesday friendly fire strike kills special operations soldiers afghanistan,0,0.2,0.2,1,0,0,0,0,0,0.2
5130,responding torrent complaints internal revenue service tuesday unveiled taxpayer bill rights r taxpayer bill rights,0,0.2,0.2,1,0,0,0,0,0,0.2
5131,background islamic state iraq syria islamist group gained control second largest city iraq isis behind group overrunning iraq,0,0.4,0.4,0,1,0,0,0,0,0.4
5132,photographs taken american journalist offer rare glimpse prime minister jawaharlal nehru daughter indira gandhi vacation kashmir american journalist photographs rare glimpse india first prime minister,0,0.2,0.2,1,0,0,0,0,0,0.2
5133,daughter former chinese prime minister wen jiabao behind charity endowed university post chinese development studies according report british newspaper daily telegraph report links wen family cambridge professorship,0,0.4,0.4,0,1,0,0,0,0,0.4
5134,fund managers skeptical fossil fuel companies long term investments nations move toward tougher rules emissions weighing risks investing energy companies,0,0.4,0.4,0,1,0,0,0,0,0.4
5135,lawmakers hoping turn eric cantor defeat advantage next week marshal allies cantor resigns leadership post effort smooth house transition,0,0.2,0.2,1,0,0,0,0,0,0.2
5136,action could also affect millions vehicles already recalled manufacturers toyota orders big recall tied air bag part,0,0.2,0.2,1,0,0,0,0,0,0.2
5137,unleashed destructive political impulses party eric cantor finally fell victim g p far right moderate,1,0.7,0.7,0,0,0,1,0,0,0.7
5138,prolific fund raiser relationships donors republicans eric cantor defeat could hurt republican fund raising,0,0.2,0.2,1,0,0,0,0,0,0.2
5139,department defense identified american service members died part afghan war related operations u military deaths afghanistan,0,0.41000000000000003,0.4,0,0,1,0,0,0,0.41000000000000003
5140,less robust growth rate percent decline government spending public investment several top economists pessimistic complete recovery u economic recovery looks distant growth stalls,0,0.2,0.2,1,0,0,0,0,0,0.2
5141,house panel looking claims representative steve stockman took illegal contributions two staff members may made false statements bid cover texas lawmaker investigated campaign donations,0,0.7,0.7,0,0,0,1,0,0,0.7
5142,new study suggests people general politicians grown divided geographically socially ideology polarization dividing american society politics,0,0.2,0.2,1,0,0,0,0,0,0.2
5143,new report says president xi jinping torn ambitions china exert power asia desire peace region focus domestic priorities xi two minds good neighbor assert china power,0,0.2,0.2,1,0,0,0,0,0,0.2
5144,american prisoner war freed exchange taliban detainees receive specialized treatment military designed soldiers endured long periods captivity bergdahl departs germany treatment texas,0,0.41000000000000003,0.4,0,0,1,0,0,0,0.41000000000000003
5145,britain united states united nations countries region react intense fighting iraq countries weigh iraq unrest,0,0.5,0.5,0,0,1,0,0,0,0.5
5146,hostile unsolicited deal activity sharply year according thomson reuters nearly billion hostile activity hostile takeover bids big firms across industries make comeback,0,0.4,0.4,0,1,0,0,0,0,0.4
5147,president united states soccer federation sunil gulati denied report fifa asked form organizing committee could take preparations world cup taken away qatar u denies talk world cup,0,0.2,0.2,1,0,0,0,0,0,0.2
5148,representative kevin mccarthy rises mr cantor majority leader spot result would elevate californian less conservative voting record man would replace cantor loss may temper house leaders,0,0.4,0.4,0,1,0,0,0,0,0.4
5149,japan filed formal complaint china submitted application unesco memory world register atrocities committed japanese world war ii china japan face documentation wartime atrocities,0,0.41000000000000003,0.4,0,0,1,0,0,0,0.41000000000000003
5150,life get different eric cantor going republican house another congressman cantor loss leadership role means far fewer perks,0,0.5,0.5,0,0,1,0,0,0,0.5
5151,insider series walls take inside building see photographs hang walls walls,0,0.2,0.2,1,0,0,0,0,0,0.2
5152,nissan begins spanish language ad campaign aim world cup fans honda enters music business reach young wheelies world cup nissan edition,0,0.2,0.2,1,0,0,0,0,0,0.2
5153,global summit end sexual violence conflict secretary state john kerry spoke timely decisions violence iraq expects president obama john kerry obama iraq thinking,0,0.2,0.2,1,0,0,0,0,0,0.2
5154,readers respond news articles column crisis unraveling iraq beyond,1,0.30000000000000004,0.30000000000000004,0,1,0,0,0,0,0.30000000000000004
5155,sides bear responsibility deteriorating crisis iraq obama mccain maliki,1,0.0,0.0,0,0,0,0,0,1,0.0
5156,representative ra l r labrador positioned conservative alternative representative kevin mccarthy majority leader idaho republican appealing right enters race replace cantor,0,0.5,0.5,0,0,1,0,0,0,0.5
5157,advisers better intelligence could improve united states air power effort assist nuri kamal al maliki government u airstrikes could help reversing insurgent offensive experts say,0,0.2,0.2,1,0,0,0,0,0,0.2
5158,time gun issues volatile nationally sales increasing many minority gun owners trying balance pros cons ownership n r unyielding stances minority gun owners face balancing act weighing isolation stigma violence,0,0.2,0.2,1,0,0,0,0,0,0.2
5159,raw revelatory admissions essay reflects blinding competition get elite schools naked confessions college bound,1,0.4,0.4,0,1,0,0,0,0,0.4
5160,saw firsthand united states military rationed american public knew operations iraq fog machine war,1,0.41000000000000003,0.4,0,0,1,0,0,0,0.41000000000000003
5161,readers respond column charles blow religious constriction evolution bible literalists,1,0.2,0.2,1,0,0,0,0,0,0.2
5162,dietitian responds column mark bittman causes weight gain eating much,1,0.2,0.2,1,0,0,0,0,0,0.2
5163,peak moment partisanship stop self audit allegiances assumptions dangerous divisiveness,1,0.7,0.7,0,0,0,1,0,0,0.7
5164,deeply flawed appeals court ruling could severely limit enforcement foreign cartels cramped view antitrust laws,1,0.4,0.4,0,1,0,0,0,0,0.4
5165,although make percent country population likely constitute percent voters senate battlegrounds hispanics larger political voice,0,0.5,0.5,0,0,1,0,0,0,0.5
5166,annual income would take consider rich possible rich already definition rich changes income,0,0.5,0.5,0,0,1,0,0,0,0.5
5167,bill george former chief executive medtronic opposed pfizer proposed deal acquire overseas competitor reincorporate abroad favor former employer making similar deal former medtronic c e defends inversion deal,0,0.2,0.2,1,0,0,0,0,0,0.2
5168,justices also allowed challenge law banning lies political campaigns move forward refused hear case holding school graduations churches supreme court rules straw purchases guns,0,0.19,0.2,1,0,0,0,0,0,0.19
5169,jim hall former chairman national transportation safety board calls congress investigate g culture g call congressional action,1,0.2,0.2,1,0,0,0,0,0,0.2
5170,verizon executive describes company transition away copper networks fiber networks phones,1,0.2,0.2,1,0,0,0,0,0,0.2
5171,substitute john brooks playing first world cup game powered fierce header net give united states victory ghana dream start,0,0.4,0.4,0,1,0,0,0,0,0.4
5172,decisions gone ways several provided new round judicial rebukes recent wave photo id requirements efforts shorten early voting court rulings voter restrictions create limbo midterms near,0,0.2,0.2,1,0,0,0,0,0,0.2
5173,study united states finished last advanced nations despite costly system world health care systems stack,1,0.2,0.2,1,0,0,0,0,0,0.2
5174,pro gun members congress way continue bar federally financed research roots gun violence prevent legislating ignorance guns,1,0.2,0.2,1,0,0,0,0,0,0.2
5175,president obama needs mount surge humanitarian care handle explosion young migrants fleeing violence home countries innocents border,1,0.2,0.2,1,0,0,0,0,0,0.2
5176,arizona state found new way educate students starbucks employees may soon find new college model,1,0.2,0.2,1,0,0,0,0,0,0.2
5177,though u players refused say beating ghana would huge accomplishment team simply would allow third straight world cup loss black stars quiet adversary u posts victory speaks volumes,0,0.2,0.2,1,0,0,0,0,0,0.2
5178,united states got critical individual performances winning first world cup match taking promising step toward advancing group player ratings united states vs ghana,0,0.5,0.5,0,0,1,0,0,0,0.5
5179,effort uphold academic freedom american association university professors asks colleges terminate renegotiate agreements confucius institutes campus cultural language programs backed chinese government u professors call colleges evaluate confucius institutes,0,0.2,0.2,1,0,0,0,0,0,0.2
5180,argue understanding solve problems computers important learning particular programming language anna north writes learn code,1,0.5,0.5,0,0,1,0,0,0,0.5
5181,kyle massey oversees many top headlines day discusses art headline writing confessions head hunter,0,0.2,0.2,1,0,0,0,0,0,0.2
5182,project would send oil alberta asia faces stiff opposition aboriginal groups environmentalists community advocates despite protests canada approves northern gateway oil pipeline,0,0.4,0.4,0,1,0,0,0,0,0.4
5183,obama thinking isis confused lead problems fight iraq ignore syria,1,0.7,0.7,0,0,0,1,0,0,0.7
5184,megafires scorching west money needed fight paying forest fire next time,1,0.2,0.2,1,0,0,0,0,0,0.2
5185,points americans earned opening victory could points need thanks part germany rout portugal u win ghana may enough advance,0,0.2,0.2,1,0,0,0,0,0,0.2
5186,immigration lawyer responds news article fight u girls face genital cutting abroad female genital cutting,1,0.8,0.8,0,0,0,1,0,0,0.8
5187,slow steady withdrawal stimulus accompanied slow steady improvement economic conditions limits fed,1,0.4,0.4,0,1,0,0,0,0,0.4
5188,president obama considering targeted highly selective campaign airstrikes sunni militants iraq similar counterterrorism operations yemen rather aerial bombardment obama said consider selective airstrikes sunni militants,0,0.2,0.2,1,0,0,0,0,0,0.2
5189,u representative organization prohibition chemical weapons said simple condemnation syria enough country miss deadline destruction chemical munitions u suggests getting tougher syria chemical weapons deadline,0,0.2,0.2,1,0,0,0,0,0,0.2
5190,reform restructuring left households living extreme poverty cutting poor welfare,1,0.7,0.7,0,0,0,1,0,0,0.7
5191,president dilma rousseff met tuesday vice president joseph r biden jr brazil united states moved improve relations brazil biden rousseff meet,0,0.2,0.2,1,0,0,0,0,0,0.2
5192,mrs clinton decide run president already got stylish votes hillary clinton fashion love affair continues,0,0.5,0.5,0,0,1,0,0,0,0.5
5193,shocking primary loss representative eric cantor house republicans vote leadership thursday bigger contest months years away house g p leadership fight main event still come,0,0.7,0.7,0,0,0,1,0,0,0.7
5194,writer peta foundation urges united states follow lead countries banned use circus animals exploiting circus animals,1,0.2,0.2,1,0,0,0,0,0,0.2
5195,federal reserve chairwoman janet l yellen said fed would maintain plan trim stimulus campaign reducing monthly bond purchases billion beginning july yellen delivers remarks fed policy,0,0.2,0.2,1,0,0,0,0,0,0.2
5196,china education ministry says schools teach sex education number reasons including widespread embarrassment usually passed beijing school parents take sex education class,0,0.4,0.4,0,1,0,0,0,0,0.4
5197,fafsa complicated application form discourages many going college bill proposes replacing two simple questions answer postcard,1,0.5,0.5,0,0,1,0,0,0,0.5
5198,new academic paper suggests word soccer began britain used happily least even spirited debate sport name endures arms soccer vs football,0,0.2,0.2,1,0,0,0,0,0,0.2
5199,states change laws classify bringing gun security checkpoints felony guns airport,1,0.2,0.2,1,0,0,0,0,0,0.2
5200,mitt romney may officially running anything still making waves say everything old old mitt,1,0.2,0.2,1,0,0,0,0,0,0.2
5201,negotiators growing skeptical united states iran reach permanent deal iran nuclear capabilities july deadline conflict iraq adds new angle u iran nuclear talks,0,0.4,0.4,0,1,0,0,0,0,0.4
5202,highlights international herald tribune archives marlene dietrich travels french liner u senate votes favor civil rights pages june,0,0.2,0.2,1,0,0,0,0,0,0.2
5203,analysts say china could try assert new islands disputed waters entitle country exclusive economic zones coastlines analysts say china may try use manmade islands bolster bid economic development,0,0.2,0.2,1,0,0,0,0,0,0.2
5204,communist party top graft investigation group published article using series house cards evidence extent influence peddling west argue china fundamentally different china uses house cards illustration west corruption,0,0.5,0.5,0,0,1,0,0,0,0.5
5205,amazon fire smartphone eventually available outside united states likely face uphill battle lure europeans away devices favor untested competitor amazon phone may tough sell europe arrives,0,0.5,0.5,0,0,1,0,0,0,0.5
5206,vote placed conservative louisiana tea party support leadership spot effort quell unease among party hard liners house republicans name mccarthy cantor replacement,0,0.7,0.7,0,0,0,1,0,0,0.7
5207,politically obsessed manically social representative kevin mccarthy likely focused brokering deals winning elections pushing policy high deal making touch honed minority,0,0.5,0.5,0,0,1,0,0,0,0.5
5208,sophisticated robots become anna north writes freaked robot nightmares,1,0.3,0.3,0,1,0,0,0,0,0.3
5209,representative carolyn b maloney new york responds editorial legislating ignorance guns congress guns,1,0.2,0.2,1,0,0,0,0,0,0.2
5210,circus official says ringling bros barnum bailey committed best care animals caring circus animals,1,0.2,0.2,1,0,0,0,0,0,0.2
5211,best way find happened benghazi get clean conviction try terror suspect federal court guant namo ahmed abu khattala,1,0.2,0.2,1,0,0,0,0,0,0.2
5212,three gay republicans running congress featuring significant others campaign ads sign quickly views changing sex marriage gay g p candidates feature partners ads,0,0.5,0.5,0,0,1,0,0,0,0.5
5213,walmart world largest public corporation big part income gap problem could big part solution corporate daddy,1,0.2,0.2,1,0,0,0,0,0,0.2
5214,carmen balcells half century represented many top names spanish latin american literature forming joint venture andrew wylie years solitude spanish literary champion takes partner,0,0.2,0.2,1,0,0,0,0,0,0.2
5215,health care scandal veterans affairs real hyped proportion attempt block reform larger national system veterans zombies,1,0.0,0.0,0,0,0,0,0,1,0.0
5216,two new reports suggest americans finding bargains wide choice insurance plans thanks affordable care act good progress affordable health care,1,0.2,0.2,1,0,0,0,0,0,0.2
5217,decades blocking gay married couples receiving benefits heterosexual counterparts federal agencies treat married couples alike regardless gender obama extends marriage benefits gay couples,0,0.2,0.2,1,0,0,0,0,0,0.2
5218,one five young adults lives parents might recessionary blip dawn whole new economic age official boomerang kids leave,0,0.2,0.2,1,0,0,0,0,0,0.2
5219,reasons pause advancing tax plans partly practical philosophical shifts also played role unexpected ceasefire washington tax wars,0,0.2,0.2,1,0,0,0,0,0,0.2
5220,obama administration increasing efforts reduce influx migrants crossing southwest border illegally detain migrants accelerate cases deported quickly officials said u moves stop surge illegal immigration,0,0.39,0.4,0,1,0,0,0,0,0.39
5221,amid humiliations world war ii inmates defiantly asserted americanism national pastime incarcerated japanese americans baseball wearing american flag,0,0.21000000000000002,0.2,0,1,0,0,0,0,0.21000000000000002
5222,representative young required pay fine almost using campaign money personal purposes accepting impermissible gifts house ethics panel orders alaska republican pay fine,0,0.2,0.2,1,0,0,0,0,0,0.2
5223,laws eased users find high leads cliff candy dandy pot scary,1,0.7,0.7,0,0,0,1,0,0,0.7
5224,iraqi politicians begun position possible replacements embattled prime minister nuri kamal al maliki four contenders four contenders replace maliki,0,0.5,0.5,0,0,1,0,0,0,0.5
5225,dad around great unless violent abuser two parent households lethal,1,0.5,0.5,0,0,1,0,0,0,0.5
5226,united states came within seconds securing spot knockout round settled draw portugal silverstre varela scored header tie score world cup united states portugal play draw,0,0.4,0.4,0,1,0,0,0,0,0.4
5227,highlights international herald tribune archives two american warships european waters might avert war britain sells buses cuba pages june,0,0.21000000000000002,0.2,0,1,0,0,0,0,0.21000000000000002
5228,new excerpt secretly recorded conversations foreign minister radoslaw sikorski quoted describing country security relationship united states worth nothing tapes said reveal polish minister disparaging u ties,0,0.4,0.4,0,1,0,0,0,0,0.4
5229,portugal must win get back hunt preferably goals united states probably would happy enough draw united states vs portugal world cup live blog,0,0.2,0.2,1,0,0,0,0,0,0.2
5230,many americans disgusted washington speak instead marginalizing voting frustration doctrine,1,0.7,0.7,0,0,0,1,0,0,0.7
5231,united states soccer team fans still sorting emotions stunning last second draw portugal sunday u tie leaves emotions unsettled,0,0.2,0.2,1,0,0,0,0,0,0.2
5232,new york times cbs news poll adults conducted june landlines cellphones full poll results,0,0.6000000000000001,0.6000000000000001,0,0,0,1,0,0,0.6000000000000001
5233,latest new york times cbs news poll based telephone interviews conducted june june adults throughout united states poll conducted,0,0.5900000000000001,0.6000000000000001,0,0,1,0,0,0,0.5900000000000001
5234,dissatisfaction president conduct foreign policy shot among members parties last month according latest new york times cbs news poll poll finds dissatisfaction iraq,0,0.29000000000000004,0.30000000000000004,0,1,0,0,0,0,0.29000000000000004
5235,election tea party loyalists could expand ranks republican senators willing defy party leadership mavericks could fracture g p senate majority,0,0.49,0.5,0,0,1,0,0,0,0.49
5236,neil barofsky government gadfly made career needling times pillorying wall street washington bank bailouts neil barofsky old foe bank bailouts said monitor credit suisse,0,0.2,0.2,1,0,0,0,0,0,0.2
5237,k k r agreed pay million one third stake international renewable energy business spanish company acciona help finance future growth acciona renewable energy business k k r invest acciona renewable energy arm,0,0.2,0.2,1,0,0,0,0,0,0.2
5238,tktk may need text tktk work hard get good things life,0,0.3,0.3,0,1,0,0,0,0,0.3
5239,americans frequently encouraged build personal brands writes anna north say emphasis touting achievements could working us self promotion backlash,1,0.2,0.2,1,0,0,0,0,0,0.2
5240,obama administration drawn plans escalate sanctions russia targeting financial energy defense industries doubting putin obama prepares add pressure,0,0.21000000000000002,0.2,0,1,0,0,0,0,0.21000000000000002
5241,without mohsen fakhrizadeh believed leading iran nuclear program agreement negotiations lack real understanding close iran building nuclear warhead long absent nuclear expert still hold iran talks,0,0.30000000000000004,0.30000000000000004,0,1,0,0,0,0,0.30000000000000004
5242,tying portugal sunday hot humid conditions american players drank protein shakes took ice baths got massages wore compression pants flight back cup base u team recuperates humidity manaus,0,0.4,0.4,0,1,0,0,0,0,0.4
5243,congressional committee united states approved measure would rename street outside chinese embassy washington liu xiaobo plaza imprisoned political dissident chinese embassy united states address liu xiaobo plaza,0,0.2,0.2,1,0,0,0,0,0,0.2
5244,iran directing surveillance drones airfield baghdad supplying iraqi forces tons military equipment supplies according american officials iran secretly sending drones supplies iraq u officials say,0,0.4,0.4,0,1,0,0,0,0,0.4
5245,democratic primary representative charles b rangel challenger state senator adriano espaillat still close call despite declaration victory mr rangel rangel leads democratic house primary,0,0.2,0.2,1,0,0,0,0,0,0.2
5246,book china lead three business school professors looked motors constraints greatness china experiencing one authors william c kirby explains found q william c kirby china lead,0,0.2,0.2,1,0,0,0,0,0,0.2
5247,though united states biggest contributor helping rid land mines old conflict zones international campaign ban landmines said still signed international treaty u chided delays treaty weapons,0,0.2,0.2,1,0,0,0,0,0,0.2
5248,united states froze assets two senior members lashkar e taiba designated pakistani group charity wing front organization u imposes sanctions pakistani militants,0,0.2,0.2,1,0,0,0,0,0,0.2
5249,report raises warnings countries might adopt rationale united states carrying lethal drone strikes outside declared war zones report task force united states drone policy,0,0.21000000000000002,0.2,0,1,0,0,0,0,0.21000000000000002
5250,salesforce philips jointly announcing call open cloud based health care platform initial focus managing chronic ailments salesforce takes cloud model health care,0,0.2,0.2,1,0,0,0,0,0,0.2
5251,annual study said land ever devoted growing poppies noted rise use methamphetamines marijuana united states opium production rise worldwide u n reports,0,0.2,0.2,1,0,0,0,0,0,0.2
5252,germany advanced must draw win group u tops group win candidly happy draw advancement u vs germany world cup live blog,0,0.5,0.5,0,0,1,0,0,0,0.5
5253,various ways evaluate living standards many eastern kentucky comes near bottom hardest places live u,0,0.2,0.2,1,0,0,0,0,0,0.2
5254,secretary state john kerry france foreign minister laurent fabius discussed tensions ukraine russia kerry fabius ukraine,0,0.42000000000000004,0.4,0,0,1,0,0,0,0.42000000000000004
5255,first polling partnership two major national news organizations united states created collaboration became blueprint rival alliances television networks newspapers reading minds history times polling,0,0.30000000000000004,0.30000000000000004,0,1,0,0,0,0,0.30000000000000004
5256,choice major victory exchange expected one biggest initial public offerings years alibaba ticker symbol baba alibaba chinese internet giant picks n e listing,0,0.4,0.4,0,1,0,0,0,0,0.4
5257,mr baker senate republican leader eight years forceful figure chamber watergate committee helped president ronald reagan weather iran contra scandal howard h baker jr great conciliator senate dies,0,0.5,0.5,0,0,1,0,0,0,0.5
5258,cancellation comes edward j snowden revelations national security agency routine access global data provided telecom companies irked n germany cancels deal verizon,0,0.2,0.2,1,0,0,0,0,0,0.2
5259,united states needing tie germany advance round began game heels howard makes enough stops keep u going,0,0.4,0.4,0,1,0,0,0,0,0.4
5260,jails prisons get commissions phone financial companies charge high rates inmates choices prisons sky high phone rates money transfer fees,0,0.2,0.2,1,0,0,0,0,0,0.2
5261,president visited woman written struggles part white house effort reach ordinary americans diner obama serving ordinary life,0,0.4,0.4,0,1,0,0,0,0,0.4
5262,dishonor american heritage remain indifferent triumphs failures global democratic project spiritual recession,1,0.2,0.2,1,0,0,0,0,0,0.2
5263,washington announced military would longer produce acquire antipersonnel land mines replace old ones expire u lays groundwork reduce land mines join global treaty,0,0.2,0.2,1,0,0,0,0,0,0.2
5264,response thomas edsall critique welfare system rightward shift reform conservatism work poverty,1,0.2,0.2,1,0,0,0,0,0,0.2
5265,ten asian pacific nations complained agriculture department catfish inspection program added farm bill violates international law u catfish program could stymie pacific trade pact nations say,0,0.4,0.4,0,1,0,0,0,0,0.4
5266,research shows binge watching could hazardous health writes anna north americans may already love much stop death netflix,1,0.5,0.5,0,0,1,0,0,0,0.5
5267,analysis social media reaction united states germany soccer match details hope angst relief experienced game u germany match social media lens,0,0.30000000000000004,0.30000000000000004,0,1,0,0,0,0,0.30000000000000004
5268,numbers behind transformers age extinction expected gross one billion dollars summer blockbusters year transformers summer blockbuster,0,0.4,0.4,0,1,0,0,0,0,0.4
5269,mariam ibraheem ishag family detained airport khartoum sudanese authorities said travel documents forged christian sudanese woman family protection u embassy,0,0.2,0.2,1,0,0,0,0,0,0.2
5270,immigration debate focuses border security say american freedoms compromised interior border patrol checkpoints like one north arivaca ariz checkpoint showdown,0,0.2,0.2,1,0,0,0,0,0,0.2
5271,people watching games tv parts country also searching online updates growth breadth u interest world cup,0,0.2,0.2,1,0,0,0,0,0,0.2
